title,body,labels
"FIX: Session limit enforcement","Implement logic to enforce max-active-sessions. When session count exceeds limit, revoke oldest active session.","priority:P0,area:auth,type:security"
"FIX: Timing attack mitigation","Implement constant-time password comparison, fake user flow, and random delays to prevent username enumeration.","priority:P0,area:auth,type:security"
"FIX: Remove debug unlock controller","Remove or restrict /auth/debug endpoints. They must never exist in production.","priority:P0,area:auth,type:security"
"FIX: Input validation & sanitization","Add strict regex validation for username/password, sanitize all string inputs, enforce request size limits, block XSS/SQL injection.","priority:P0,area:auth,type:security"
"FIX: Rate limit bypass prevention","Validate X-Forwarded-For, implement IP + user-based limits, add distributed-IP detection, prevent header spoofing.","priority:P0,area:auth,type:security"
"FIX: Vault secret management","Remove hardcoded Vault token. Implement AppRole auth, fallback backup, token renewal, and fail-fast disabled.","priority:P0,area:infra,type:security"
"FIX: Redis high availability (Auth)","Switch from single Redis to Sentinel/Cluster. Add circuit breaker fallback when Redis down.","priority:P0,area:infra,type:infra"
"FIX: Session cleanup batching","Rewrite cleanup job to delete expired sessions in batches to avoid table locks.","priority:P0,area:auth,type:tech-debt"

"FIX: Gateway circuit breakers","Add Resilience4j circuit breakers on auth/profile routes to prevent cascading failures.","priority:P0,area:gateway,type:feature"
"FIX: Gateway request/response logging","Add correlation IDs, MDC logging, latency tracking, structured logs.","priority:P0,area:gateway,type:feature"
"FIX: Gateway rate limiting","Implement Redis-backed rate limiting at gateway to protect backend services.","priority:P0,area:gateway,type:security"
"FIX: Actuator endpoint security","Restrict actuator endpoints to internal network. Expose only health + prometheus.","priority:P0,area:gateway,type:security"
"FIX: Gateway routing integration tests","Add full WebTestClient integration tests verifying routing, JWT validation, JWKS refresh.","priority:P0,area:gateway,type:tests"

"FIX: Profile admin role enforcement","Restrict all profile admin endpoints using role validation. Only ADMIN role can approve/reject documents.","priority:P0,area:profile,type:security"
"FIX: Document ownership validation","Ensure users can upload and manage ONLY their own documents. Reject mismatched user IDs.","priority:P0,area:profile,type:security"
"FIX: Storage service implementation","Implement S3-based presigned URL generation for uploads. Replace placeholder with real upload logic.","priority:P0,area:profile,type:feature"
"FIX: Header validation","Validate X-User-ID for UUID format. Reject requests not sent from gateway. Enforce mTLS origin.","priority:P0,area:profile,type:security"
"FIX: Enforce mTLS between Gateway â†’ Profile","Enable HTTPS on profile service with client cert validation. Reject non-gateway callers.","priority:P0,area:profile,type:security"
"FIX: Remove hardcoded DB credentials","Move DB creds from YAML to environment variables or Vault.","priority:P0,area:profile,type:security"
"FIX: Restrict Kafka trusted packages","Whitelist only required packages for JSON deserialization to prevent RCE.","priority:P0,area:profile,type:security"
"FIX: R2DBC transaction test isolation","Enable transactional operator + rollback strategy for reliable reactive integration tests.","priority:P0,area:profile,type:tests"

"FIX: Event schema registry","Introduce Avro schema registry for versioned event definitions. Prevent breaking event changes.","priority:P0,area:infra,type:feature"
"FIX: Event delivery guarantees","Add ack checking + retry for Kafka producer publishes. No fire-and-forget.","priority:P0,area:infra,type:feature"
"FIX: Distributed tracing","Integrate Sleuth + Zipkin for full request trace across all services.","priority:P0,area:infra,type:feature"

"FIX: Password reset flow","Implement forgot-password + reset-password endpoints. Secure token, TTL, single-use, Redis storage.","priority:P1,area:auth,type:feature"
"FIX: Replay protection","Add timestamp + nonce validation to refresh requests. Store nonce in Redis to block replay.","priority:P1,area:auth,type:security"
"FIX: Error handling standardization","Ensure all services return consistent JSON error format. Add global exception handler.","priority:P1,area:auth,type:tech-debt"
"FIX: Service-to-service RBAC","Add authorization layer for mTLS service calls. Enforce which service may call which endpoint.","priority:P1,area:infra,type:security"
"FIX: JWKS synchronization safety","Improve gateway JWKS refresh handling. Add old key retention + faster refresh.","priority:P1,area:gateway,type:security"
"FIX: Kafka consumer implementations","Add consumers for trip.completed, rating.submitted, and update driver stats.","priority:P1,area:profile,type:feature"
"FIX: Email/phone validation","Add strict validation for email and E164 phone format in profile service.","priority:P1,area:profile,type:security"
"FIX: Audit log retention policy","Add retention config, cleanup job, and cold storage archiving.","priority:P1,area:auth,type:infra"

"FIX: Remove deprecated lockout field","Remove unused lockout_end_time column + corresponding code.","priority:P2,area:auth,type:tech-debt"
"FIX: Remove deprecated SecureController","Delete unused /secure/info endpoint and related config.","priority:P2,area:auth,type:tech-debt"
"FIX: Cleanup unused RateLimiter reset code","Move test-only methods to test package or annotate properly.","priority:P2,area:auth,type:tech-debt"
"FIX: Create shared libraries","Extract common DTOs, security utils, metrics utils into /libs folder.","priority:P2,area:infra,type:tech-debt"
"FIX: Zero-downtime DB migrations","Adopt expand-contract migration pattern with validation.","priority:P2,area:infra,type:tech-debt"
"FIX: Deterministic UUID generation for tests","Add UuidGenerator abstraction with deterministic test implementation.","priority:P2,area:infra,type:tests"
